Date,Article
2019-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2019-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2018-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2018-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2017-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2017-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2017-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2016-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2016-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2016-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2015-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2015-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2015-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2014-09-30,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.7506}"
2014-06-30,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.0772}"
2014-03-31,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.0772}"
2013-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2013-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2013-03-31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2012-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2012-06-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2012-03-31,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}"
2011-09-30,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.9967}"
2011-06-30,"{'neg': 0.032, 'neu': 0.892, 'pos': 0.076, 'compound': 0.3818}"
2011-03-31,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
2010-09-30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2010-06-30,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.994}"
